t,S_mean,E_mean,I_mean,R_mean
470,3617.6666666666665,297.6666666666667,647.3333333333334,15437.333333333334
471,3615.6666666666665,305.3333333333333,644.3333333333334,15434.666666666666
472,3631.3333333333335,305.6666666666667,627.0,15436.0
473,3624.0,314.6666666666667,621.3333333333334,15440.0
474,3631.0,318.6666666666667,628.3333333333334,15422.0
475,3641.6666666666665,308.0,635.3333333333334,15415.0
476,3639.6666666666665,314.6666666666667,634.6666666666666,15411.0
477,3637.0,306.3333333333333,637.0,15419.666666666666
478,3638.0,303.6666666666667,633.0,15425.333333333334
479,3625.3333333333335,316.0,634.0,15424.666666666666
480,3622.0,306.6666666666667,644.6666666666666,15426.666666666666
481,3628.0,297.3333333333333,641.0,15433.666666666666
482,3644.3333333333335,296.3333333333333,639.3333333333334,15420.0
483,3645.6666666666665,295.3333333333333,632.6666666666666,15426.333333333334
484,3654.6666666666665,298.0,632.6666666666666,15414.666666666666
485,3653.0,300.0,636.0,15411.0
486,3655.0,300.0,631.3333333333334,15413.666666666666
487,3654.0,306.3333333333333,631.3333333333334,15408.333333333334
488,3666.3333333333335,297.3333333333333,622.6666666666666,15413.666666666666
489,3671.0,312.3333333333333,623.3333333333334,15393.333333333334
490,3688.0,309.3333333333333,623.0,15379.666666666666
491,3690.3333333333335,306.3333333333333,633.6666666666666,15369.666666666666
492,3693.6666666666665,306.3333333333333,640.0,15360.0
493,3695.6666666666665,298.6666666666667,653.0,15352.666666666666
494,3703.0,307.3333333333333,646.0,15343.666666666666
495,3693.3333333333335,315.3333333333333,655.0,15336.333333333334
496,3688.0,317.6666666666667,661.6666666666666,15332.666666666666
497,3689.3333333333335,314.0,665.3333333333334,15331.333333333334
498,3698.6666666666665,313.0,673.3333333333334,15315.0
499,3693.6666666666665,315.6666666666667,664.6666666666666,15326.0
500,3691.6666666666665,321.6666666666667,658.0,15328.666666666666
501,3689.3333333333335,330.3333333333333,662.6666666666666,15317.666666666666
502,3689.0,336.3333333333333,657.6666666666666,15317.0
503,3703.3333333333335,325.3333333333333,656.0,15315.333333333334
504,3706.6666666666665,330.6666666666667,661.3333333333334,15301.333333333334
505,3718.3333333333335,312.0,660.6666666666666,15309.0
506,3720.3333333333335,310.3333333333333,659.3333333333334,15310.0
507,3712.6666666666665,315.0,667.0,15305.333333333334
508,3725.3333333333335,312.3333333333333,664.6666666666666,15297.666666666666
509,3724.6666666666665,318.3333333333333,654.3333333333334,15302.666666666666
510,3727.6666666666665,317.3333333333333,658.6666666666666,15296.333333333334
511,3727.6666666666665,322.3333333333333,663.0,15287.0
512,3720.6666666666665,322.3333333333333,656.0,15301.0
513,3708.3333333333335,322.6666666666667,666.6666666666666,15302.333333333334
514,3697.0,328.0,665.0,15310.0
515,3691.0,332.6666666666667,665.0,15311.333333333334
516,3670.0,341.0,679.6666666666666,15309.333333333334
517,3669.0,345.3333333333333,678.3333333333334,15307.333333333334
518,3651.6666666666665,343.0,678.6666666666666,15326.666666666666
519,3648.6666666666665,335.3333333333333,689.0,15327.0
520,3646.0,338.0,688.3333333333334,15327.666666666666
521,3638.0,336.0,695.0,15331.0
522,3640.6666666666665,324.0,694.0,15341.333333333334
523,3639.0,331.3333333333333,693.3333333333334,15336.333333333334
524,3634.0,336.3333333333333,688.0,15341.666666666666
