t,S_mean,E_mean,I_mean,R_mean
497,3550.0,325.3333333333333,675.0,15449.666666666666
498,3545.6666666666665,315.3333333333333,681.3333333333334,15457.666666666666
499,3558.6666666666665,301.6666666666667,675.0,15464.666666666666
500,3568.0,303.3333333333333,679.6666666666666,15449.0
501,3575.3333333333335,300.0,686.6666666666666,15438.0
502,3584.6666666666665,302.6666666666667,669.6666666666666,15443.0
503,3578.0,313.6666666666667,654.3333333333334,15454.0
504,3577.3333333333335,320.3333333333333,662.0,15440.333333333334
505,3573.0,324.3333333333333,663.0,15439.666666666666
506,3573.0,339.0,654.3333333333334,15433.666666666666
507,3590.0,327.0,656.6666666666666,15426.333333333334
508,3581.3333333333335,333.6666666666667,656.0,15429.0
509,3574.3333333333335,322.3333333333333,663.0,15440.333333333334
510,3575.3333333333335,322.6666666666667,663.3333333333334,15438.666666666666
511,3582.3333333333335,313.3333333333333,654.3333333333334,15450.0
512,3593.6666666666665,317.0,647.6666666666666,15441.666666666666
513,3601.3333333333335,312.6666666666667,652.3333333333334,15433.666666666666
514,3609.6666666666665,306.6666666666667,640.0,15443.666666666666
515,3615.6666666666665,309.0,642.3333333333334,15433.0
516,3616.3333333333335,322.3333333333333,643.3333333333334,15418.0
517,3618.3333333333335,318.6666666666667,637.6666666666666,15425.333333333334
518,3611.6666666666665,324.3333333333333,637.3333333333334,15426.666666666666
519,3616.0,320.6666666666667,639.6666666666666,15423.666666666666
520,3621.6666666666665,321.3333333333333,639.6666666666666,15417.333333333334
521,3635.0,312.6666666666667,653.3333333333334,15399.0
522,3633.3333333333335,321.6666666666667,648.0,15397.0
523,3648.6666666666665,316.3333333333333,651.3333333333334,15383.666666666666
524,3665.0,308.3333333333333,642.0,15384.666666666666
525,3666.3333333333335,318.6666666666667,637.3333333333334,15377.666666666666
526,3676.3333333333335,322.3333333333333,629.0,15372.333333333334
527,3674.6666666666665,320.3333333333333,636.6666666666666,15368.333333333334
528,3670.0,325.3333333333333,645.0,15359.666666666666
529,3679.0,312.0,653.3333333333334,15355.666666666666
530,3678.0,317.0,644.0,15361.0
531,3687.0,319.6666666666667,638.0,15355.333333333334
532,3703.6666666666665,324.3333333333333,636.3333333333334,15335.666666666666
533,3710.0,317.0,638.0,15335.0
534,3715.3333333333335,316.3333333333333,642.0,15326.333333333334
535,3708.3333333333335,324.0,642.6666666666666,15325.0
536,3711.6666666666665,323.0,647.0,15318.333333333334
537,3721.6666666666665,329.6666666666667,635.0,15313.666666666666
538,3717.0,329.3333333333333,644.3333333333334,15309.333333333334
539,3726.3333333333335,327.0,651.3333333333334,15295.333333333334
540,3720.6666666666665,333.0,651.0,15295.333333333334
541,3725.3333333333335,304.0,666.0,15304.666666666666
542,3718.0,318.0,655.6666666666666,15308.333333333334
543,3723.6666666666665,316.6666666666667,663.6666666666666,15296.0
544,3714.6666666666665,327.3333333333333,663.3333333333334,15294.666666666666
545,3716.3333333333335,326.0,665.6666666666666,15292.0
546,3732.0,325.3333333333333,666.3333333333334,15276.333333333334
547,3744.3333333333335,321.6666666666667,669.3333333333334,15264.666666666666
548,3741.6666666666665,329.3333333333333,668.0,15261.0
549,3727.6666666666665,342.0,663.3333333333334,15267.0
550,3734.0,337.6666666666667,673.3333333333334,15255.0
551,3735.6666666666665,326.6666666666667,679.0,15258.666666666666
552,3737.0,323.3333333333333,686.3333333333334,15253.333333333334
553,3729.3333333333335,324.0,690.6666666666666,15256.0
554,3726.6666666666665,328.0,691.3333333333334,15254.0
555,3736.6666666666665,324.3333333333333,695.0,15244.0
556,3721.6666666666665,326.0,700.6666666666666,15251.666666666666
557,3718.3333333333335,334.6666666666667,698.0,15249.0
558,3717.3333333333335,345.6666666666667,691.6666666666666,15245.333333333334
559,3719.6666666666665,344.3333333333333,692.3333333333334,15243.666666666666
560,3718.0,345.6666666666667,695.6666666666666,15240.666666666666
561,3712.6666666666665,341.6666666666667,691.6666666666666,15254.0
562,3718.0,339.6666666666667,689.0,15253.333333333334
563,3720.3333333333335,334.6666666666667,697.3333333333334,15247.666666666666
564,3714.6666666666665,342.3333333333333,688.3333333333334,15254.666666666666
565,3729.3333333333335,339.0,691.0,15240.666666666666
566,3736.0,341.6666666666667,698.3333333333334,15224.0
567,3729.3333333333335,352.0,695.6666666666666,15223.0
568,3730.3333333333335,349.6666666666667,710.3333333333334,15209.666666666666
569,3723.0,365.0,706.0,15206.0
570,3719.0,363.0,715.6666666666666,15202.333333333334
571,3712.0,364.0,715.3333333333334,15208.666666666666
572,3720.0,358.3333333333333,724.3333333333334,15197.333333333334
573,3710.0,344.3333333333333,728.3333333333334,15217.333333333334
574,3693.0,355.3333333333333,720.0,15231.666666666666
575,3674.3333333333335,373.0,722.0,15230.666666666666
576,3673.3333333333335,370.6666666666667,720.3333333333334,15235.666666666666
577,3670.0,364.0,725.3333333333334,15240.666666666666
578,3663.3333333333335,376.3333333333333,723.6666666666666,15236.666666666666
579,3659.0,369.3333333333333,726.6666666666666,15245.0
580,3654.0,355.3333333333333,738.0,15252.666666666666
581,3661.0,352.3333333333333,731.6666666666666,15255.0
582,3658.0,355.0,724.0,15263.0
583,3669.0,341.6666666666667,731.6666666666666,15257.666666666666
584,3662.6666666666665,355.6666666666667,736.6666666666666,15245.0
585,3660.3333333333335,354.3333333333333,740.0,15245.333333333334
586,3657.6666666666665,363.6666666666667,728.0,15250.666666666666
587,3658.0,341.0,739.3333333333334,15261.666666666666
588,3663.3333333333335,343.0,737.6666666666666,15256.0
